Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
2.81838293126445e+000	(2.61755587469033e+000dB,1.79552105592010e+002°)	(5.23481016051386e+000dB,1.79102277051801e+002°)	(1.04692580778647e+001dB,1.78163786989900e+002°)	(2.09288852687730e+001dB,1.75837702775329e+002°)	(-2.61759154338761e+000dB,-1.79552171602135e+002°)	(-5.23484899101468e+000dB,-1.79102439310545e+002°)	(-1.04693074091399e+001dB,-1.78163872659786e+002°)
2.88403150312660e+000	(2.61743361926100e+000dB,1.79541709850737e+002°)	(5.23456730275824e+000dB,1.79081438678293e+002°)	(1.04687486826971e+001dB,1.78121170964784e+002°)	(2.09274309947111e+001dB,1.75741334583534e+002°)	(-2.61746928840746e+000dB,-1.79541777398279e+002°)	(-5.23460616653424e+000dB,-1.79081604707045e+002°)	(-1.04687980228732e+001dB,-1.78121258626696e+002°)
2.95120922666638e+000	(2.61730562841751e+000dB,1.79531074603203e+002°)	(5.23431304973050e+000dB,1.79060120069608e+002°)	(1.04682153910416e+001dB,1.78077573323430e+002°)	(2.09259087522024e+001dB,1.75642763194456e+002°)	(-2.61734129803421e+000dB,-1.79531143723962e+002°)	(-5.23435194834355e+000dB,-1.79060289955508e+002°)	(-1.04682647405351e+001dB,-1.78077663023520e+002°)
3.01995172040201e+000	(2.61717163438601e+000dB,1.79520194458446e+002°)	(5.23404686921846e+000dB,1.79038310406155e+002°)	(1.04676570873140e+001dB,1.78032971985938e+002°)	(2.09243153924655e+001dB,1.75541940224486e+002°)	(-2.61720730449496e+000dB,-1.79520265189056e+002°)	(-5.23408580430344e+000dB,-1.79038484238321e+002°)	(-1.04677064465606e+001dB,-1.78033063771417e+002°)
3.09029543251359e+000	(2.61703135701524e+000dB,1.79509063913239e+002°)	(5.23376820439083e+000dB,1.79015998642287e+002°)	(1.04670726043727e+001dB,1.77987344413681e+002°)	(2.09226476235093e+001dB,1.75438816368968e+002°)	(-2.61706702763950e+000dB,-1.79509136291186e+002°)	(-5.23380717765901e+000dB,-1.79016176511865e+002°)	(-1.04671219738285e+001dB,-1.77987438332838e+002°)
3.16227766016837e+000	(2.61688450321639e+000dB,1.79497677350408e+002°)	(5.23347647268125e+000dB,1.78993173502871e+002°)	(1.04664607211858e+001dB,1.77940667602522e+002°)	(2.09209020038742e+001dB,1.75333341394992e+002°)	(-2.61692017438008e+000dB,-1.79497751414049e+002°)	(-5.23351548592381e+000dB,-1.78993355503073e+002°)	(-1.04665101013278e+001dB,-1.77940763704753e+002°)
3.23593656929628e+000	(2.61673076637869e+000dB,1.79486029037181e+002°)	(5.23317106462391e+000dB,1.78969823479892e+002°)	(1.04658201603980e+001dB,1.77892918076154e+002°)	(2.09190749361250e+001dB,1.75225464134987e+002°)	(-2.61676643810705e+000dB,-1.79486104825766e+002°)	(-5.23321011971566e+000dB,-1.78970009706043e+002°)	(-1.04658695517254e+001dB,-1.77893016411984e+002°)
3.31131121482591e+000	(2.61656982575997e+000dB,1.79474113123563e+002°)	(5.23285134263897e+000dB,1.78945936829121e+002°)	(1.04651495857929e+001dB,1.77844071879568e+002°)	(2.09171626600861e+001dB,1.75115132481181e+002°)	(-2.61660549807943e+000dB,-1.79474190677256e+002°)	(-5.23289044154217e+000dB,-1.78946127378703e+002°)	(-1.04651989888281e+001dB,-1.77844172500675e+002°)
3.38844156139202e+000	(2.61640134585106e+000dB,1.79461923640752e+002°)	(5.23251663976571e+000dB,1.78921501566850e+002°)	(1.04644475996463e+001dB,1.77794104572682e+002°)	(2.09151612458133e+001dB,1.75002293381029e+002°)	(-2.61643701878925e+000dB,-1.79462003000651e+002°)	(-5.23255578453416e+000dB,-1.78921696539547e+002°)	(-1.04644970149358e+001dB,-1.77794207531924e+002°)
3.46736850452531e+000	(2.61622497571315e+000dB,1.79449454499595e+002°)	(5.23216625834155e+000dB,1.78896505466702e+002°)	(1.04637127399677e+001dB,1.77742991224148e+002°)	(2.09130665862940e+001dB,1.74886892833690e+002°)	(-2.61626064929901e+000dB,-1.79449535707753e+002°)	(-5.23220545112478e+000dB,-1.78896704964449e+002°)	(-1.04637621680832e+001dB,-1.77743096575586e+002°)
